Crop, Rainfall, Temperature, pH 
Bajra,61.1,20.85,6.2
Barley,68.8,23.11,6.2
Bean,45.6,18.85,6.2
Bottle Gourd,45.6,18.85,6.2
Brinjal,61.1,20.85,6.2
Chillies,61.1,20.85,6.2
Coriander,61.1,20.85,6.2
Cowpea,81.7,25.22,6.2
Garlic,68.8,23.11,6.2
Ginger,1093.8,26.5,6.2
Gram,68.8,23.11,6.2
Groundnut,61.1,20.85,6.2
Guar seed,61.1,20.85,6.2
Jowar,61.1,20.85,6.2
Khesari,68.8,23.11,6.2
Lady Finger,45.6,18.85,6.2
Lentil,61.1,20.85,6.2
Linseed,81.7,25.22,6.2
Maize,249.0,26.34,6.2
Moong(Green Gram),45.6,18.85,6.2
Orange,68.8,23.11,6.2
Potato,61.1,20.85,6.2
Raddish,45.6,18.85,6.2
Ragi,68.8,23.11,6.2
Sannhamp,81.7,25.22,6.2
Sesamum,68.8,23.11,6.2
Sunflower,68.8,23.11,6.2
Sweet potato,81.7,25.22,6.2
Tapioca,81.7,25.22,6.2
Urad,61.1,20.85,6.2
Varagu,68.8,23.11,6.2
Wheat,61.1,20.85,6.2
